id,name,rarity,prompt
91,Entropy Blast,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Entropy Blast, a rare-tier card from the ADA ARCANA universe. Depict spell  cast entropy blast to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Entropy Blast. Replace the rarity box with Rare. Write the description Spell  Cast Entropy Blast to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
92,Hydra Battery,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Hydra Battery, a epic-tier card from the ADA ARCANA universe. Depict relic  while hydra battery remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Hydra Battery. Replace the rarity box with Epic. Write the description Relic  While Hydra Battery remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
93,Aether Observatory,Legendary,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Aether Observatory, a legendary-tier card from the ADA ARCANA universe. Depict building  aether observatory produces resources each turn and strengthens nearby units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Aether Observatory. Replace the rarity box with Legendary. Write the description Building  Aether Observatory produces resources each turn and strengthens nearby units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
94,Whale Tamer,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Whale Tamer, a common-tier card from the ADA ARCANA universe. Depict unit  whale tamer enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Whale Tamer. Replace the rarity box with Common. Write the description Unit  Whale Tamer enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
95,Prism Key,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Prism Key, a uncommon-tier card from the ADA ARCANA universe. Depict relic  while prism key remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Prism Key. Replace the rarity box with Uncommon. Write the description Relic  While Prism Key remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
96,Null Field,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Null Field, a rare-tier card from the ADA ARCANA universe. Depict spell  cast null field to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Null Field. Replace the rarity box with Rare. Write the description Spell  Cast Null Field to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
97,Bison Barracks,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Bison Barracks, a epic-tier card from the ADA ARCANA universe. Depict building  bison barracks produces resources each turn and strengthens nearby units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Bison Barracks. Replace the rarity box with Epic. Write the description Building  Bison Barracks produces resources each turn and strengthens nearby units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
98,Skylance Dragoon,Legendary,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Skylance Dragoon, a legendary-tier card from the ADA ARCANA universe. Depict unit  skylance dragoon enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Skylance Dragoon. Replace the rarity box with Legendary. Write the description Unit  Skylance Dragoon enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
99,Bison Spearmaster,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Bison Spearmaster, a common-tier card from the ADA ARCANA universe. Depict unit  bison spearmaster enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Bison Spearmaster. Replace the rarity box with Common. Write the description Unit  Bison Spearmaster enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
100,Data Forge,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Data Forge, a uncommon-tier card from the ADA ARCANA universe. Depict building  data forge produces resources each turn and strengthens nearby units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Data Forge. Replace the rarity box with Uncommon. Write the description Building  Data Forge produces resources each turn and strengthens nearby units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
